cluster,n_grids_scored,equity_mean,equity_median,equity_p10,equity_p90,performance_mean,need_mean,cluster_name
0,761,99.39753120960201,99.33065351905779,99.25111414276688,99.7413924456088,17.148430739792484,21.319339413574212,"Cluster A — High-Rent, Low Service Volume"
1,2290,99.28558261607002,99.28212937653565,99.25407236353563,99.33081493182412,16.218285927035414,48.726925730104576,Cluster B — Dominant Residential
2,30,99.28396346580611,99.27580589087252,99.25818431296179,99.30275817512805,13.031058050525548,45.32409865477269,Cluster C — High-Density Outlier
3,1742,99.2369554169946,99.3139523373369,99.27259203870571,99.37600564572261,23.07901057581876,46.95161396717548,Cluster D — Slow Resolution Hotspot
